"siteid","gvillcode","dem_yrvill","dem_pop","dem_hhd","dem_pop10","dem_hhd10","dem_in","dem_out","dem_ethnic"
"101011","101101",-9,210,25,177,20,44,11,4
"101011","101102",-9,180,39,175,37,10,5,2
"101011","101103",-9,240,48,200,40,45,5,2
"101011","101104",-9,110,23,101,20,20,9,3
"101011","101105",-9,124,24,115,22,2,0,1
"101011","101106",-9,160,26,200,30,15,55,2
"101011","101107",-9,126,35,130,36,2,5,2
"102011","102101",1984,120,15,78,10,0,10,1
"102011","102102",1984,305,61,255,51,50,0,1
"102011","102103",1970,98,12,60,7,20,30,2
"102011","102104",1982,201,45,100,30,20,20,2
"102011","102105",2001,158,34,-8,-8,34,0,1
"102011","102106",2001,408,47,-8,-8,6,21,2
"102021","102201",1995,72,14,32,8,8,24,1
"102021","102202",2002,124,32,40,10,100,0,1
"102021","102203",1996,150,28,90,12,25,35,1
"102021","102204",2002,80,14,22,5,18,1,2
"102021","102205",1992,400,80,220,66,100,42,2
"102021","102206",1991,78,15,45,12,8,6,1
"102021","102207",1992,101,19,55,14,10,7,2
"102021","102208",1994,215,46,72,26,50,4,2
"102031","102301",1995,158,24,-9,-9,-9,-9,2
"102031","102302",1996,97,17,-9,-9,-9,-9,2
"102031","102303",1996,116,20,-9,-9,-9,-9,3
"102031","102304",1980,73,13,-9,-9,-9,-9,2
"102031","102305",-9,288,55,-9,-9,-9,-9,3
"102031","102306",1998,80,30,-9,-9,-9,-9,2
"102031","102307",-9,87,40,-9,-9,-9,-9,3
"103011","103101",1950,-9,50,-9,-9,-9,-9,-9
"103011","103102",-9,-9,62,-9,-9,-9,-9,-9
"103011","103103",1970,-9,30,-9,-9,-9,-9,-9
"103011","103104",1988,-9,130,-9,-9,-9,-9,-9
"103011","103105",1971,-9,37,-9,-9,-9,-9,-9
"103011","103106",1955,-9,50,-9,-9,0,-9,-9
"103011","103107",1970,-9,24,-9,-9,-9,-9,-9
"103011","103108",1984,-9,55,-9,-9,-9,-9,-9
"103011","103109",1990,-9,22,-9,-9,-9,-9,-9
"103011","103110",1984,-9,20,-9,-9,-9,-9,-9
"103011","103111",1982,-9,38,-9,-9,-9,-9,-9
"103011","103112",-9,986,195,-9,-9,-9,-9,-9
"103011","103113",1976,-9,32,-9,-9,-9,-9,-9
"103011","103114",1984,261,66,-9,-9,-9,-9,-9
"104021","104201",1980,135,35,150,40,0,20,3
"104021","104202",1955,700,120,600,100,50,100,2
"104021","104203",1948,600,95,300,50,10,100,2
"104021","104204",1960,350,100,200,50,30,50,2
"104021","104205",1961,350,101,200,75,12,10,2
"104021","104206",2000,124,29,-9,-9,0,11,1
"104021","104207",1972,550,100,300,60,25,10,1
"104021","104208",1998,55,11,18,6,49,16,1
"104021","104209",1979,80,9,55,10,7,6,1
"104021","104210",1962,500,120,250,50,0,0,1
"104021","104211",1987,600,80,350,80,20,18,2
"104021","104212",1988,600,90,150,25,30,12,1
"104021","104213",1970,700,136,400,60,10,5,1
"104021","104214",1990,60,8,68,10,0,10,1
"104021","104215",1972,370,48,200,25,0,12,1
"104021","104216",1963,22,2,90,10,0,80,1
"104021","104217",1953,500,60,280,30,-9,10,1
"104021","104218",2001,120,30,-8,-8,0,2,1
"104021","104219",1953,320,40,260,35,0,0,1
"104021","104220",1993,108,30,42,6,10,10,1
