"siteid","gvillcode","mgt_lead","for_v_lead"
"101011","101101",1,1
"101011","101102",1,1
"101011","101103",1,1
"101011","101104",1,1
"101011","101105",1,1
"101011","101106",1,1
"101011","101107",1,1
"102011","102101",1,1
"102011","102102",1,1
"102011","102103",1,1
"102011","102104",1,1
"102011","102105",1,1
"102011","102106",1,1
"102021","102201",1,1
"102021","102202",1,1
"102021","102203",1,1
"102021","102204",1,1
"102021","102205",1,1
"102021","102206",1,1
"102021","102207",1,1
"102021","102208",1,1
"102031","102301",1,1
"102031","102302",0,1
"102031","102303",0,1
"102031","102304",0,1
"102031","102305",0,1
"102031","102306",0,1
"102031","102307",0,1
"103011","103101",0,1
"103011","103102",0,1
"103011","103103",0,1
"103011","103104",0,1
"103011","103105",0,1
"103011","103106",0,1
"103011","103107",0,1
"103011","103108",0,1
"103011","103109",0,1
"103011","103110",0,1
"103011","103111",0,1
"103011","103112",1,1
"103011","103113",1,1
"103011","103114",1,1
"104021","104201",1,1
"104021","104202",1,1
"104021","104203",1,1
"104021","104204",1,1
"104021","104205",1,1
"104021","104206",1,1
"104021","104207",1,1
"104021","104208",1,1
"104021","104209",1,1
"104021","104210",1,1
"104021","104211",1,1
"104021","104212",1,1
"104021","104213",-9,1
"104021","104214",1,1
"104021","104215",1,1
"104021","104216",0,1
"104021","104217",1,1
"104021","104218",1,1
"104021","104219",1,1
"104021","104220",1,1
"104021","104221",1,1
"104021","104222",1,1
"104021","104223",1,1
"104021","104224",1,1
"104021","104225",-9,1
"104021","104226",1,1
"104021","104227",1,1
"104021","104228",1,1
"104021","104229",1,1
"104021","104230",1,1
"104021","104231",1,1
"104021","104232",1,1
"105011","105101",0,1
"105011","105102",1,1
"105011","105103",1,1
"105011","105104",1,1
"105011","105105",1,1
"105011","105106",1,1
"105011","105107",1,1
"105011","105108",1,1
"105011","105109",1,1
"105011","105110",1,1
"105011","105111",1,1
"105011","105112",1,1
"106011","106101",1,1
"106011","106102",1,1
"106011","106103",1,1
"106011","106104",1,1
"106031","106301",1,1
"106031","106302",1,1
"106031","106303",1,1
"106031","106304",1,1
"106041","106401",-9,-9
"106041","106402",-9,-9
"106041","106403",-9,-9
"106041","106404",-9,-9
"106041","106405",-9,-9
"106041","106406",-9,-9
"106041","106407",-9,-9
"106041","106408",-9,-9
"106041","106409",-9,-9
"106041","106410",-9,-9
"201011","201101",1,1
"201011","201102",1,1
"201011","201103",1,1
"201011","201104",1,1
"201011","201105",1,1
"201011","201106",1,1
"201011","201107",1,1
"201021","201201",1,1
"201021","201202",1,1
"201032","201301",1,1
"201032","201302",1,1
"201032","201303",1,1
"201032","201304",1,1
"201032","201305",1,1
"201032","201306",1,1
"201032","201307",1,1
"201032","201308",1,1
"201031","201309",1,1
"201031","201310",1,1
"201031","201311",1,1
"201031","201312",1,1
"201031","201313",1,1
"201031","201314",1,1
"202011","202101",1,1
"202011","202102",1,1
"202012","202103",1,1
"202012","202104",1,1
"202013","202105",1,1
"202013","202106",1,1
"203011","203101",1,1
"203011","203102",1,1
"203011","203103",1,1
"203021","203201",1,1
"203021","203202",1,1
"204011","204101",1,1
"204011","204102",1,1
"204013","204103",0,1
"204013","204104",1,1
"204012","204105",1,1
"204012","204106",1,1
"204021","204201",0,0
"204021","204202",1,1
"205011","205101",1,1
"205011","205102",1,1
"205011","205103",1,1
"205012","205104",1,1
"205012","205105",1,1
"205021","205201",1,1
"205022","205202",1,1
"207011","207101",1,1
"207011","207102",1,1
"207011","207103",1,1
"207011","207104",1,1
"207011","207105",1,1
"207011","207106",1,1
"208011","208101",1,1
"208011","208102",0,1
"208011","208103",0,1
"208011","208104",1,1
"208011","208105",0,1
"208012","208106",0,1
"208012","208107",0,1
"208012","208108",0,1
"208012","208109",0,1
"208012","208110",0,1
"208013","208111",0,1
"208013","208112",0,1
"208013","208113",0,1
"208013","208114",1,1
"208013","208115",0,1
"301011","301101",1,1
"301011","301102",1,1
"301011","301103",1,1
"301011","301104",1,1
"301011","301105",1,1
"302011","302101",1,1
"302011","302102",1,1
"302011","302103",1,1
"302012","302104",1,1
"302012","302105",1,1
"302011","302106",1,1
"302012","302107",1,1
"302012","302108",1,1
