"siteid","gvillcode","fi_cat","fi_mip","fi_for","fi_tenu","fi_crules","fi_cenfor","fi_grules","fi_genfor","fi_reqperm","fi_payperm","fi_whoperm"
"101011","101101",1,3,11,131,0,-8,0,-8,0,-8,-8
"101011","101101",3,21,11,331,0,-8,0,-8,0,-8,-8
"101011","101101",4,27,11,331,0,-8,0,-8,0,-8,-8
"101011","101101",2,1,12,331,0,-8,0,-8,0,-8,-8
"101011","101102",2,1,12,331,2,4,2,1,2,1,3
"101011","101102",1,3,12,331,0,-8,2,0,2,1,3
"101011","101102",4,27,11,331,0,-8,0,-8,0,-8,-8
"101011","101102",3,26,12,131,2,4,0,-8,0,-8,-8
"101011","101103",1,3,12,131,0,-8,0,-8,0,-8,-8
"101011","101103",3,26,12,131,0,-8,0,-8,0,-8,-8
"101011","101103",4,27,12,331,0,-8,0,-8,0,-8,-8
"101011","101103",2,1,11,331,0,-8,2,1,2,1,3
"101011","101104",1,3,12,131,0,-8,1,0,1,1,3
"101011","101104",2,1,11,332,0,-8,1,0,1,1,3
"101011","101104",4,27,11,332,0,-8,0,-8,0,-8,-8
"101011","101104",3,26,12,131,0,-8,0,-8,0,-8,-8
"101011","101104",5,21,12,131,0,-8,0,-8,0,-8,-8
"101011","101105",4,27,11,132,0,-8,0,-8,0,-8,-8
"101011","101105",2,1,11,132,0,-8,1,0,0,-8,-8
"101011","101105",1,3,11,132,0,-8,1,0,0,-8,-8
"101011","101105",3,22,11,132,0,-8,0,-8,0,-8,-8
"101011","101105",5,22,11,132,0,-8,0,-8,0,-8,-8
"101011","101106",4,27,11,332,0,-8,0,-8,0,-8,-8
"101011","101106",1,3,12,332,0,-8,1,0,0,-8,-8
"101011","101106",2,1,12,332,0,-8,1,0,1,1,3
"101011","101106",5,10,11,332,0,-8,0,-8,0,-8,-8
"101011","101106",3,26,12,332,2,4,0,-8,0,-8,-8
"101011","101107",2,1,12,332,2,0,1,2,1,1,3
"101011","101107",3,26,12,332,1,4,0,-8,0,-8,-8
"101011","101107",1,3,12,332,0,-8,1,0,1,1,3
"101011","101107",5,10,11,332,0,-8,0,-8,0,-8,-8
"101011","101107",4,27,11,332,0,-8,0,-8,0,-8,-8
"102011","102101",1,3,10,121,1,9,0,-8,0,-8,-8
"102011","102101",3,21,10,121,1,9,0,-8,0,-8,-8
"102011","102101",4,27,10,121,1,9,0,-8,0,-8,-8
"102011","102101",5,33,10,121,1,9,0,-8,0,-8,-8
"102011","102101",2,1,20,121,2,4,2,4,2,1,4
"102011","102102",1,3,10,261,0,-8,0,-8,0,-8,-8
"102011","102102",2,1,20,361,2,1,2,1,2,1,4
"102011","102102",4,27,10,261,0,-8,0,-8,0,-8,-8
"102011","102103",1,3,10,231,1,2,1,1,0,-8,-8
"102011","102103",4,27,10,261,1,2,0,-8,0,-8,-8
"102011","102103",5,33,10,231,1,2,0,-8,0,-8,-8
"102011","102103",3,51,10,261,1,2,0,-8,0,-8,-8
"102011","102104",2,1,10,361,2,1,1,1,1,0,4
"102011","102104",4,27,10,361,0,-8,0,-8,0,-8,-8
"102011","102104",1,3,10,361,0,-8,0,-8,0,-8,-8
"102011","102104",3,21,10,361,0,-8,1,1,0,-8,-8
"102011","102105",3,51,20,261,2,4,0,-8,0,-8,-8
"102011","102105",1,3,10,261,2,4,0,-8,0,-8,-8
"102011","102106",2,1,10,261,1,1,2,1,0,-8,-8
"102011","102106",1,3,10,261,0,-8,0,-8,0,-8,-8
"102021","102201",2,2,11,162,0,-8,1,0,0,-8,-8
"102021","102201",5,21,11,162,0,-8,0,-8,0,-8,-8
"102021","102201",6,45,11,121,1,1,1,0,0,-8,-8
"102021","102201",3,561,11,162,0,-8,0,-8,0,-8,-8
"102021","102201",4,571,11,162,0,-8,0,-8,0,-8,-8
"102021","102201",1,3,80,162,0,-8,0,-8,0,-8,-8
"102021","102202",2,2,111,163,0,-8,1,0,0,-8,-8
"102021","102202",5,21,11,163,0,-8,0,-8,0,-8,-8
"102021","102202",4,751,111,163,0,-8,0,-8,0,-8,-8
"102021","102202",3,605,11,163,0,-8,0,-8,0,-8,-8
"102021","102202",6,45,11,162,1,0,1,0,0,-8,-8
"102021","102202",1,3,80,163,0,-8,0,-8,0,-8,-8
"102021","102202",3,561,112,163,0,-8,0,-8,0,-8,-8
"102021","102203",3,604,10,162,0,-8,0,-8,0,-8,-8
"102021","102203",3,561,111,162,0,-8,0,-8,0,-8,-8
"102021","102203",4,568,10,162,0,-8,0,-8,0,-8,-8
"102021","102203",6,45,10,121,1,1,1,0,0,-8,-8
"102021","102203",2,901,10,162,0,-8,1,0,0,-8,-8
"102021","102203",5,21,10,162,0,-8,0,-8,0,-8,-8
"102021","102203",1,3,10,162,0,-8,0,-8,0,-8,-8
"102021","102204",3,604,10,163,0,-8,1,0,0,-8,-8
"102021","102204",2,720,10,163,0,-8,1,0,0,-8,-8
"102021","102204",1,3,80,163,0,-8,0,-8,0,-8,-8
"102021","102204",5,21,10,163,0,-8,0,-8,0,-8,-8
"102021","102204",3,558,112,163,0,-8,0,-8,0,-8,-8
"102021","102204",4,569,10,163,0,-8,0,-8,0,-8,-8
"102021","102204",6,45,10,163,1,1,1,1,0,-8,-8
"102021","102205",5,511,111,162,0,-8,0,-8,0,-8,-8
"102021","102205",3,605,10,162,2,0,2,0,0,-8,-8
"102021","102205",6,45,10,162,1,0,1,0,0,-8,-8
"102021","102205",4,588,10,162,0,-8,0,-8,0,-8,-8
"102021","102205",1,3,80,162,0,-8,0,-8,0,-8,-8
"102021","102205",3,561,10,162,2,1,0,-8,0,-8,-8
"102021","102205",2,417,10,162,2,0,1,0,0,-8,-8
"102021","102205",4,771,111,162,0,-8,0,-8,0,-8,-8
"102021","102206",4,588,80,162,0,-8,0,-8,0,-8,-8
"102021","102206",3,617,10,162,0,-8,0,-8,0,-8,-8
"102021","102206",2,665,10,162,2,1,1,0,0,-8,-8
"102021","102206",5,21,10,162,0,-8,0,-8,0,-8,-8
"102021","102206",1,3,10,162,0,-8,0,-8,0,-8,-8
"102021","102206",3,558,10,162,0,-8,0,-8,0,-8,-8
"102021","102206",6,45,10,162,1,1,1,0,0,-8,-8
"102021","102207",3,605,80,163,0,-8,0,-8,0,-8,-8
"102021","102207",2,417,10,163,0,-8,1,0,0,-8,-8
"102021","102207",5,561,111,163,0,-8,0,-8,0,-8,-8
"102021","102207",6,45,10,163,1,1,1,0,0,-8,-8
"102021","102207",4,588,80,163,0,-8,0,-8,0,-8,-8
"102021","102207",1,3,10,163,0,-8,0,-8,0,-8,-8
"102021","102207",3,558,10,163,0,-8,0,-8,0,-8,-8
"102021","102208",6,45,10,162,1,1,1,0,0,-8,-8
"102021","102208",3,604,10,162,0,-8,1,0,0,-8,-8
